date,name,distance,notes
2015-09-06,Race for the cure,6.0,
2015-09-17,Immorun,9.0,Starts at 18h?
2015-09-26,Ecotrail de Bruxelles,18.0,
2015-09-26,Ecotrail de Bruxelles,9.0,
2015-10-04,Belfius Brussels marathon,42.2,
2015-10-04,Belfius Brussels halfmarathon,21.1,
2015-10-04,Belfius Brussels 5k,5.0,
2015-10-11,5eme Orientrail,11.6,
2015-10-11,Foulees des Flosses,15.0,
2015-10-11,Foulees des Flosses,8.0,
2015-10-17,Acerta Brussels Ekiden,--,"6 man team, 5 km + 10 km + 5 km + 10 km + 5 km + 7.195 km (total 42.195 km)"
2015-10-25,Foulees Joyeuses,10.0,
2015-10-25,Foulees Joyeuses,5.0,
2015-11-11,Jogging de la Paix,12.9,
2015-11-11,Jogging de la Paix,8.6,
2015-11-11,Jogging de la Paix,4.3,
2015-12-06,Foulees Hivernales AXA,12.7,
2015-12-06,Foulees Hivernales AXA,5.0,
2015-12-20,Corrida Gaston Roelants,10.0,
2015-12-20,Corrida Gaston Roelants,5.0,
2015-12-26,Manneken Pis Corrida,7.5,
2015-12-26,Manneken Pis Corridatje,4.5,
2016-01-16,Relais Givres,12.0,"5 man team, 8k each, 4k together"
2016-02-07,Hivernales RCB,10.0,
2016-02-07,Hivernales RCB,20.0,
2016-05-08,15km de Woluwe-Saint-Lambert,15.0,
2016-05-08,6km de Woluwe-Saint-Lambert,6.0,
2016-05-08,30km trail de Woluwe-Saint-Lambert,30.0,
2016-05-29,20km door Brussel,20.0,
