Year,Time,Rank,Age,Pace,Minutes,Minutes rounded
1987,01:44:40,9285,29,00:05:14,104.67,105
1988,01:43:52,8902,30,00:05:12,103.87,104
1989,01:50:44,9770,31,00:05:32,110.73,111
1990,01:54:18,10730,32,00:05:43,114.30,114
1991,01:40:28,7764,33,00:05:01,100.47,100
1992,01:44:06,6952,34,00:05:12,104.10,104
1993,01:42:04,7638,35,00:05:06,102.07,102
1994,,,,,,
1995,01:51:45,11267,37,00:05:35,111.75,112
1996,01:58:50,12093,38,00:05:57,118.83,119
1997,01:50:35,10350,39,00:05:32,110.58,111
1998,01:49:44,8317,40,00:05:29,109.73,110
1999,02:01:50,8418,41,00:06:06,121.83,122
